[('Iran', 0.7293535470962524), ('Tehran', 0.6154943704605103), ('Iranian', 0.6114965081214905)] Armenian_dram
[('Somoni', 0.5270118713378906), ('Tajikistan', 0.5007444024085999), ('Uzbekistan', 0.4986739754676819)] Somoni
[('Tanzania', 0.5217524170875549), ('Kenya', 0.5143651962280273), ('Zambia', 0.4872356653213501)] Tanzanian_shilling
[('CFA_franc', 0.8184266090393066), ('Senegal', 0.5566830635070801), ('Gabon', 0.5209488868713379)] CFA_franc
[('Turkish_lira', 0.8413882255554199), ('lira', 0.6281417608261108), ('Turkey', 0.5934375524520874)] Turkish_lira
[('Lithuania', 0.5361654162406921), ('Latvia', 0.5345102548599243), ('Moldova', 0.509984016418457)] Ukrainian_hryvnia
[('Senegal', 0.37489646673202515), ('Lithuania', 0.3707748055458069), ('Uzbekistan', 0.37064915895462036)] Yemeni_rial
[('Zambia', 0.578764796257019), ('Zambian_kwacha', 0.575528621673584), ('Tanzania', 0.5415208339691162)] Zambian_kwacha
[('Armenia', 0.6639283895492554), ('Azerbaijan', 0.640537440776825), ('Moldova', 0.607477605342865)] Armenian_dram
[('Euro', 0.8173555135726929), ('Croatia', 0.6741254329681396), ('Slovenia', 0.6583048105239868)] Euro
[('Albania', 0.6290450692176819), ('Azerbaijan', 0.6227213144302368), ('Bulgaria', 0.6109976768493652)] Bulgarian_lev
[('Chilean_peso', 0.8953696489334106), ('Chile_peso', 0.6300511360168457), ('Colombian_peso', 0.6273331642150879)] Chilean_peso
[('Renminbi', 0.9107505083084106), ('renminbi', 0.6236178874969482), ('Renminbi_RMB', 0.6100577712059021)] Renminbi
[('Colombian_peso', 0.879717230796814), ('Chile_peso', 0.6262282729148865), ('peso', 0.607098400592804)] Colombian_peso
[('Czech_koruna', 0.8542823791503906), ('Polish_zloty', 0.5650205612182617), ('EUR_CZK', 0.5606220960617065)] Czech_koruna
[('Ethiopia', 0.5585212111473083), ('Eritrea', 0.5309866070747375), ('Tajikistan', 0.49177271127700806)] Ethiopian_birr
[('Euro', 0.8173555135726929), ('Croatia', 0.6741254329681396), ('Slovenia', 0.6583048105239868)] Euro
[('Euro', 0.8173555135726929), ('Croatia', 0.6741254329681396), ('Slovenia', 0.6583048105239868)] Euro
[('Hungarian_forint', 0.8839735388755798), ('Polish_zloty', 0.6011857986450195), ('Czech_koruna', 0.5991604328155518)] Hungarian_forint
[('Lao_kip', 0.5455447435379028), ('Laos', 0.48559942841529846), ('Albania', 0.47402477264404297)] Lao_kip
[('Euro', 0.8173555135726929), ('Croatia', 0.6741254329681396), ('Slovenia', 0.6583048105239868)] Euro
[('Libyan_dinar', 0.7148192524909973), ('Yemen', 0.504376232624054), ('Azerbaijan', 0.46294498443603516)] Libyan_dinar
[('Malaysian_ringgit', 0.8643572926521301), ('ringgit', 0.6496535539627075), ('Malaysia', 0.5977785587310791)] Malaysian_ringgit
[('Euro', 0.8173555135726929), ('Croatia', 0.6741254329681396), ('Slovenia', 0.6583048105239868)] Euro
[('Nigerian_naira', 0.7192113995552063), ('Nigeria', 0.6784111261367798), ('Benin', 0.6086186170578003)] Nigerian_naira
[('Euro', 0.8173555135726929), ('Croatia', 0.6741254329681396), ('Slovenia', 0.6583048105239868)] Euro
[('Qatar', 0.6358640193939209), ('Qatari_riyal', 0.631119430065155), ('Oman', 0.6183735132217407)] Qatari_riyal
[('Euro', 0.8173555135726929), ('Croatia', 0.6741254329681396), ('Slovenia', 0.6583048105239868)] Euro
[('Saudi_riyal', 0.8091710209846497), ('Saudi_Arabia', 0.6095685958862305), ('riyal', 0.5793812870979309)] Saudi_riyal
[('Euro', 0.8173555135726929), ('Croatia', 0.6741254329681396), ('Slovenia', 0.6583048105239868)] Euro
[('Somali_shilling', 0.7388548851013184), ('Somalia', 0.5656574964523315), ('Ethiopia', 0.5655306577682495)] Somali_shilling
[('Euro', 0.8173555135726929), ('Croatia', 0.6741254329681396), ('Slovenia', 0.6583048105239868)] Euro
[('Swedish_krona', 0.8548489809036255), ('Sweden', 0.5914783477783203), ('Finland', 0.5744714736938477)] Swedish_krona
[('Swiss_franc', 0.8832234144210815), ('Swiss_Franc', 0.659440279006958), ('franc', 0.6444405317306519)] Swiss_franc
[('Tajikistan', 0.5876623392105103), ('Uzbekistan', 0.5685969591140747), ('Somoni', 0.5462391376495361)] Somoni
[('Tanzania', 0.6155650019645691), ('Zambia', 0.5889522433280945), ('Kenya', 0.5860623121261597)] Tanzanian_shilling
[('CFA_franc', 0.8444901704788208), ('Senegal', 0.5804681777954102), ('Gabon', 0.5727105140686035)] CFA_franc
[('Turkish_lira', 0.8598262071609497), ('lira', 0.6694249510765076), ('Turkey', 0.6578241586685181)] Turkish_lira
[('Ukraine', 0.6625661849975586), ('Azerbaijan', 0.6487339735031128), ('Moldova', 0.6372637748718262)] Ukrainian_hryvnia
[('Albania', 0.5010613203048706), ('Yemen', 0.490520179271698), ('Morocco', 0.47784069180488586)] Yemeni_rial
[('Zambia', 0.6503756046295166), ('Zambian_kwacha', 0.6233201026916504), ('Tanzania', 0.6064966917037964)] Zambian_kwacha
[('Armenia', 0.5290646553039551), ('Azerbaijan', 0.5138636231422424), ('Croatia', 0.5111284255981445)] Armenian_dram
[('Euro', 0.7840554714202881), ('Croatia', 0.6373062133789062), ('Slovenia', 0.6056619882583618)] Euro
[('Croatia', 0.5605382919311523), ('Albania', 0.5389232635498047), ('Cyprus', 0.5126345753669739)] Bulgarian_lev
[('Chilean_peso', 0.8680391311645508), ('Chile_peso', 0.590057909488678), ('Colombian_peso', 0.5820444822311401)] Chilean_peso
[('Renminbi', 0.8867605924606323), ('renminbi', 0.585841953754425), ('Renminbi_RMB', 0.5824326276779175)] Renminbi
[('Colombian_peso', 0.8472564816474915), ('Chile_peso', 0.5829774141311646), ('peso', 0.5641781091690063)] Colombian_peso
[('Czech_koruna', 0.809856653213501), ('Czech_Republic', 0.5506598949432373), ('Poland', 0.5341514348983765)] Czech_koruna
[('Ethiopia', 0.5154445767402649), ('Kenya', 0.48842722177505493), ('Tanzania', 0.47486668825149536)] Ethiopian_birr
[('Euro', 0.7840554714202881), ('Croatia', 0.6373062133789062), ('Slovenia', 0.6056619882583618)] Euro
[('Euro', 0.7840554714202881), ('Croatia', 0.6373062133789062), ('Slovenia', 0.6056619882583618)] Euro
[('Hungarian_forint', 0.8523392677307129), ('Polish_zloty', 0.5465078353881836), ('Romanian_leu', 0.5395601391792297)] Hungarian_forint
[('Laos', 0.4493473470211029), ('Thailand', 0.44163477420806885), ('Lao_kip', 0.4382098317146301)] Lao_kip
[('Euro', 0.7840554714202881), ('Croatia', 0.6373062133789062), ('Slovenia', 0.6056619882583618)] Euro
[('Libyan_dinar', 0.645923376083374), ('Yemen', 0.4947114586830139), ('Kuwait', 0.4797617197036743)] Libyan_dinar
[('Malaysian_ringgit', 0.826379656791687), ('Malaysia', 0.6471781730651855), ('ringgit', 0.6302086710929871)] Malaysian_ringgit
[('Euro', 0.7840554714202881), ('Croatia', 0.6373062133789062), ('Slovenia', 0.6056619882583618)] Euro
[('Nigeria', 0.6943343281745911), ('Nigerian_naira', 0.6406102776527405), ('Ghana', 0.6094470620155334)] Nigerian_naira
[('Euro', 0.7840554714202881), ('Croatia', 0.6373062133789062), ('Slovenia', 0.6056619882583618)] Euro
[('Oman', 0.6525061130523682), ('Qatar', 0.6492965221405029), ('Kuwait', 0.615774393081665)] Qatari_riyal
[('Euro', 0.7840554714202881), ('Croatia', 0.6373062133789062), ('Slovenia', 0.6056619882583618)] Euro
[('Saudi_riyal', 0.7575952410697937), ('Saudi_Arabia', 0.6327731609344482), ('Oman', 0.5922205448150635)] Saudi_riyal
[('Euro', 0.7840554714202881), ('Croatia', 0.6373062133789062), ('Slovenia', 0.6056619882583618)] Euro
[('Somali_shilling', 0.669183075428009), ('Ethiopia', 0.5535036325454712), ('Somalia', 0.5509966611862183)] Somali_shilling
[('Euro', 0.7840554714202881), ('Croatia', 0.6373062133789062), ('Slovenia', 0.6056619882583618)] Euro
[('Swedish_krona', 0.8154470920562744), ('Sweden', 0.6292447447776794), ('Finland', 0.5824320316314697)] Swedish_krona
[('Swiss_franc', 0.8517111539840698), ('Swiss_Franc', 0.6138989329338074), ('franc', 0.6003398895263672)] Swiss_franc
[('Uzbekistan', 0.49112868309020996), ('Tajikistan', 0.48815667629241943), ('Somoni', 0.45377081632614136)] Somoni
[('Tanzania', 0.5937158465385437), ('Kenya', 0.5901356935501099), ('Uganda', 0.5451527833938599)] Tanzanian_shilling
[('CFA_franc', 0.8021713495254517), ('Senegal', 0.5724896192550659), ('Gabon', 0.5452578663825989)] CFA_franc
[('Turkish_lira', 0.8194870352745056), ('Turkey', 0.6687734723091125), ('lira', 0.6399111151695251)] Turkish_lira
[('Ukraine', 0.5490225553512573), ('Albania', 0.5478867292404175), ('Serbia', 0.5318261384963989)] Ukrainian_hryvnia
[('Yemen', 0.44852620363235474), ('Morocco', 0.43282318115234375), ('Algeria', 0.4188775420188904)] Yemeni_rial
[('Zambia', 0.6347924470901489), ('Tanzania', 0.6117641925811768), ('Kenya', 0.5840047597885132)] Zambian_kwacha
[('Armenia', 0.5546224117279053), ('Azerbaijan', 0.5301750302314758), ('Lithuania', 0.49214237928390503)] Armenian_dram
[('Euro', 0.786311686038971), ('Estonia', 0.7186208367347717), ('Croatia', 0.7144883275032043)] Euro
[('Latvia', 0.5230801105499268), ('Estonia', 0.5127335786819458), ('Cyprus', 0.5067718029022217)] Bulgarian_lev
[('Chilean_peso', 0.893850564956665), ('Colombian_peso', 0.6438872814178467), ('Chile_peso', 0.6414151191711426)] Chilean_peso
[('Renminbi', 0.9099768400192261), ('renminbi', 0.6337186694145203), ('Renminbi_RMB', 0.6236491203308105)] Renminbi
[('Colombian_peso', 0.8791534304618835), ('Chile_peso', 0.6301896572113037), ('peso', 0.6060268878936768)] Colombian_peso
[('Czech_koruna', 0.852719247341156), ('Polish_zloty', 0.5774682760238647), ('Romanian_leu', 0.5604259967803955)] Czech_koruna
[('Ethiopia', 0.5108324885368347), ('Eritrea', 0.49141228199005127), ('Yemen', 0.48007896542549133)] Ethiopian_birr
[('Euro', 0.786311686038971), ('Estonia', 0.7186208367347717), ('Croatia', 0.7144883275032043)] Euro
[('Euro', 0.786311686038971), ('Estonia', 0.7186208367347717), ('Croatia', 0.7144883275032043)] Euro
[('Hungarian_forint', 0.8832131028175354), ('Romanian_leu', 0.6010971069335938), ('Polish_zloty', 0.6010652184486389)] Hungarian_forint
[('Lao_kip', 0.5770412087440491), ('Laos', 0.46891191601753235), ('Bahrain', 0.4420695900917053)] Lao_kip
[('Euro', 0.786311686038971), ('Estonia', 0.7186208367347717), ('Croatia', 0.7144883275032043)] Euro
[('Libyan_dinar', 0.728879451751709), ('Yemen', 0.47837033867836), ('Bahrain', 0.4617217183113098)] Libyan_dinar
[('Malaysian_ringgit', 0.866804838180542), ('ringgit', 0.64385586977005), ('Thai_baht', 0.5925663709640503)] Malaysian_ringgit
[('Euro', 0.786311686038971), ('Estonia', 0.7186208367347717), ('Croatia', 0.7144883275032043)] Euro
[('Nigerian_naira', 0.7224839925765991), ('Nigeria', 0.5748847126960754), ('Benin', 0.5259353518486023)] Nigerian_naira
[('Euro', 0.786311686038971), ('Estonia', 0.7186208367347717), ('Croatia', 0.7144883275032043)] Euro
[('Bahrain', 0.6590226292610168), ('Qatari_riyal', 0.6530308723449707), ('Oman', 0.6399117708206177)] Qatari_riyal
[('Euro', 0.786311686038971), ('Estonia', 0.7186208367347717), ('Croatia', 0.7144883275032043)] Euro
[('Saudi_riyal', 0.8162594437599182), ('riyal', 0.6043056845664978), ('Saudi_Arabia', 0.5820573568344116)] Saudi_riyal
[('Euro', 0.786311686038971), ('Estonia', 0.7186208367347717), ('Croatia', 0.7144883275032043)] Euro
[('Somali_shilling', 0.7493000030517578), ('Somalia', 0.5184908509254456), ('Ethiopia', 0.5044162273406982)] Somali_shilling
[('Euro', 0.786311686038971), ('Estonia', 0.7186208367347717), ('Croatia', 0.7144883275032043)] Euro
[('Swedish_krona', 0.8554846048355103), ('Sweden', 0.5803664922714233), ('krone', 0.5696674585342407)] Swedish_krona
[('Swiss_franc', 0.881454348564148), ('Swiss_Franc', 0.6348863840103149), ('franc', 0.6160309314727783)] Swiss_franc
[('Somoni', 0.5561403632164001), ('Tajikistan', 0.5542896389961243), ('Uzbekistan', 0.5269170999526978)] Somoni
[('Tanzania', 0.542617917060852), ('Kenya', 0.524412989616394), ('Zambia', 0.5070735812187195)] Tanzanian_shilling
[('CFA_franc', 0.8367825150489807), ('Senegal', 0.5355970859527588), ('Gabon', 0.5175978541374207)] CFA_franc
[('Turkish_lira', 0.8585550785064697), ('lira', 0.6651015877723694), ('Turkish_Lira', 0.5968725681304932)] Turkish_lira
[('Latvia', 0.5589568614959717), ('Azerbaijan', 0.5260217189788818), ('Tajikistan', 0.5211650133132935)] Ukrainian_hryvnia
[('Bahrain', 0.4799368381500244), ('Yemen', 0.4718850255012512), ('Oman', 0.4302953779697418)] Yemeni_rial
[('Zambian_kwacha', 0.6181139945983887), ('Zambia', 0.5902620553970337), ('Tanzania', 0.5544694662094116)] Zambian_kwacha
[('Armenia', 0.5384445786476135), ('Peru', 0.5172855854034424), ('Moldova', 0.516943097114563)] Armenian_dram
[('Euro', 0.805084764957428), ('Croatia', 0.622925341129303), ('Euro####', 0.6137977838516235)] Euro
[('Croatia', 0.534653902053833), ('Albania', 0.5291104316711426), ('Montenegro', 0.5258470177650452)] Bulgarian_lev
[('Chilean_peso', 0.8858529329299927), ('Colombian_peso', 0.6140483617782593), ('Chile_peso', 0.6037160158157349)] Chilean_peso
[('Renminbi', 0.9004360437393188), ('renminbi', 0.6050840616226196), ('Renminbi_RMB', 0.5986106395721436)] Renminbi
[('Colombian_peso', 0.8678457736968994), ('peso', 0.5921592116355896), ('Chile_peso', 0.5911960601806641)] Colombian_peso
[('Czech_koruna', 0.8345870971679688), ('Polish_zloty', 0.5583254098892212), ('Czech_Republic', 0.5494165420532227)] Czech_koruna
[('Ethiopia', 0.5236508846282959), ('Peru', 0.4856337308883667), ('Morocco', 0.4694194197654724)] Ethiopian_birr
[('Euro', 0.805084764957428), ('Croatia', 0.622925341129303), ('Euro####', 0.6137977838516235)] Euro
[('Euro', 0.805084764957428), ('Croatia', 0.622925341129303), ('Euro####', 0.6137977838516235)] Euro
[('Hungarian_forint', 0.8720970153808594), ('Polish_zloty', 0.5812448263168335), ('Romanian_leu', 0.5546174049377441)] Hungarian_forint
[('Lao_kip', 0.5000321865081787), ('Philippines', 0.47813811898231506), ('Thailand', 0.4655911922454834)] Lao_kip
[('Euro', 0.805084764957428), ('Croatia', 0.622925341129303), ('Euro####', 0.6137977838516235)] Euro
[('Libyan_dinar', 0.6785070300102234), ('Yemen', 0.47254678606987), ('Kuwait', 0.45865994691848755)] Libyan_dinar
[('Malaysian_ringgit', 0.8490109443664551), ('Malaysia', 0.6382349729537964), ('ringgit', 0.6359308958053589)] Malaysian_ringgit
[('Euro', 0.805084764957428), ('Croatia', 0.622925341129303), ('Euro####', 0.6137977838516235)] Euro
[('Nigerian_naira', 0.6762427091598511), ('Nigeria', 0.6546440720558167), ('Ghana', 0.5686730146408081)] Nigerian_naira
[('Euro', 0.805084764957428), ('Croatia', 0.622925341129303), ('Euro####', 0.6137977838516235)] Euro
[('Qatar', 0.6762516498565674), ('Bahrain', 0.6528141498565674), ('UAE', 0.6506769061088562)] Qatari_riyal
[('Euro', 0.805084764957428), ('Croatia', 0.622925341129303), ('Euro####', 0.6137977838516235)] Euro
[('Saudi_riyal', 0.782567024230957), ('Saudi_Arabia', 0.6388562321662903), ('Saudi', 0.5934661030769348)] Saudi_riyal
[('Euro', 0.805084764957428), ('Croatia', 0.622925341129303), ('Euro####', 0.6137977838516235)] Euro
[('Somali_shilling', 0.7065631151199341), ('Ethiopia', 0.5506756901741028), ('Somalia', 0.5114584565162659)] Somali_shilling
[('Euro', 0.805084764957428), ('Croatia', 0.622925341129303), ('Euro####', 0.6137977838516235)] Euro
[('Swedish_krona', 0.8389101624488831), ('Sweden', 0.6210576295852661), ('Finland', 0.5725076198577881)] Swedish_krona
[('Swiss_franc', 0.8716245889663696), ('Swiss_Franc', 0.6318206787109375), ('franc', 0.6001935005187988)] Swiss_franc
[('Uzbekistan', 0.5030718445777893), ('Tajikistan', 0.4988780617713928), ('Somoni', 0.4868037700653076)] Somoni
[('Tanzania', 0.5836899876594543), ('Kenya', 0.5786432027816772), ('Zambia', 0.5454778075218201)] Tanzanian_shilling
[('CFA_franc', 0.8233501315116882), ('Senegal', 0.5470778346061707), ('Gabon', 0.5352093577384949)] CFA_franc
[('Turkish_lira', 0.8436145782470703), ('lira', 0.6435056924819946), ('Turkey', 0.6403082609176636)] Turkish_lira
[('Ukraine', 0.5716909766197205), ('Moldova', 0.5436848402023315), ('Albania', 0.5312502384185791)] Ukrainian_hryvnia
[('Peru', 0.4876645803451538), ('Morocco', 0.4482264518737793), ('Egypt', 0.44048744440078735)] Yemeni_rial
[('Zambia', 0.6260098218917847), ('Tanzania', 0.5897637009620667), ('Zambian_kwacha', 0.5702114105224609)] Zambian_kwacha
[('Armenia', 0.5896726250648499), ('Cyprus', 0.5151775479316711), ('Turkey', 0.5118381977081299)] Armenian_dram
[('Euro', 0.8228254318237305), ('Croatia', 0.6692806482315063), ('Bulgaria', 0.6231261491775513)] Euro
[('Cyprus', 0.5792673826217651), ('Albania', 0.5339943170547485), ('Serbia', 0.523201584815979)] Bulgarian_lev
[('Chilean_peso', 0.9095531105995178), ('Colombian_peso', 0.6554712057113647), ('Chile_peso', 0.6413701772689819)] Chilean_peso
[('Renminbi', 0.9215778112411499), ('renminbi', 0.6229156255722046), ('Renminbi_RMB', 0.6181787848472595)] Renminbi
[('Colombian_peso', 0.8960793018341064), ('Chile_peso', 0.6294471025466919), ('Chilean_peso', 0.6138612031936646)] Colombian_peso
[('Czech_koruna', 0.8722751140594482), ('Polish_zloty', 0.5876854658126831), ('EUR_CZK', 0.5551092028617859)] Czech_koruna
[('Ethiopia', 0.5471422672271729), ('Eritrea', 0.5016942024230957), ('Sudan', 0.4861736595630646)] Ethiopian_birr
[('Euro', 0.8228254318237305), ('Croatia', 0.6692806482315063), ('Bulgaria', 0.6231261491775513)] Euro
[('Euro', 0.8228254318237305), ('Croatia', 0.6692806482315063), ('Bulgaria', 0.6231261491775513)] Euro
[('Hungarian_forint', 0.8992235064506531), ('Polish_zloty', 0.6222896575927734), ('Czech_koruna', 0.6127707958221436)] Hungarian_forint
[('Lao_kip', 0.5905945301055908), ('Laos', 0.47677361965179443), ('Cambodia', 0.4374361038208008)] Lao_kip
[('Euro', 0.8228254318237305), ('Croatia', 0.6692806482315063), ('Bulgaria', 0.6231261491775513)] Euro
[('Libyan_dinar', 0.7379111051559448), ('Masnaa_border_crossing', 0.4764708876609802), ('sprawling_Abu_Shouk', 0.4669703543186188)] Libyan_dinar
[('Malaysian_ringgit', 0.881708562374115), ('ringgit', 0.6413342952728271), ('Indonesian_rupiah', 0.5916851758956909)] Malaysian_ringgit
[('Euro', 0.8228254318237305), ('Croatia', 0.6692806482315063), ('Bulgaria', 0.6231261491775513)] Euro
[('Nigerian_naira', 0.7355872392654419), ('Nigeria', 0.5801894068717957), ('Benin', 0.5311545133590698)] Nigerian_naira
[('Euro', 0.8228254318237305), ('Croatia', 0.6692806482315063), ('Bulgaria', 0.6231261491775513)] Euro
[('Qatari_riyal', 0.6539600491523743), ('Bahrain', 0.633938193321228), ('Qatar', 0.6146030426025391)] Qatari_riyal
[('Euro', 0.8228254318237305), ('Croatia', 0.6692806482315063), ('Bulgaria', 0.6231261491775513)] Euro
[('Saudi_riyal', 0.827853262424469), ('riyal', 0.5866894721984863), ('Saudi_Arabia', 0.5785797834396362)] Saudi_riyal
[('Euro', 0.8228254318237305), ('Croatia', 0.6692806482315063), ('Bulgaria', 0.6231261491775513)] Euro
[('Somali_shilling', 0.7680741548538208), ('Somalia', 0.5292704701423645), ('Ethiopia', 0.5286347270011902)] Somali_shilling
[('Euro', 0.8228254318237305), ('Croatia', 0.6692806482315063), ('Bulgaria', 0.6231261491775513)] Euro
[('Swedish_krona', 0.8725907802581787), ('Norwegian_krone', 0.5588388442993164), ('krone', 0.5533004999160767)] Swedish_krona
[('Swiss_franc', 0.8988519310951233), ('Swiss_Franc', 0.6777916550636292), ('franc', 0.6368739604949951)] Swiss_franc
[('Somoni', 0.5695946216583252), ('Tajikistan', 0.5003559589385986), ('Uzbekistan', 0.4759499430656433)] Somoni
[('Tanzania', 0.56718909740448), ('Eritrea', 0.522426426410675), ('Kenya', 0.5184088945388794)] Tanzanian_shilling
[('CFA_franc', 0.8575265407562256), ('Senegal', 0.5321351289749146), ('CEMAC', 0.5218487977981567)] CFA_franc
[('Turkish_lira', 0.8779848217964172), ('lira', 0.6583947539329529), ('Turkish_Lira', 0.6213967800140381)] Turkish_lira
[('Serbia', 0.5333080291748047), ('Moldova', 0.525122344493866), ('Armenia', 0.5249192714691162)] Ukrainian_hryvnia
[('Syria', 0.4647762179374695), ('Egypt', 0.4454047977924347), ('Yemen', 0.4379829168319702)] Yemeni_rial
[('Zambian_kwacha', 0.634003758430481), ('Zambia', 0.5939687490463257), ('Tanzania', 0.577072024345398)] Zambian_kwacha
[('Armenia', 0.5958063006401062), ('Serbia', 0.5609301328659058), ('Moldova', 0.5543144941329956)] Armenian_dram
[('Euro', 0.7981307506561279), ('Croatia', 0.7289566397666931), ('Slovenia', 0.6754324436187744)] Euro
[('Montenegro', 0.6313515305519104), ('Croatia', 0.6000875234603882), ('Albania', 0.5838339328765869)] Bulgarian_lev
[('Chilean_peso', 0.8911142945289612), ('Colombian_peso', 0.6286619901657104), ('Chile_peso', 0.6197714805603027)] Chilean_peso
[('Renminbi', 0.906233012676239), ('renminbi', 0.6209008097648621), ('Renminbi_RMB', 0.6075352430343628)] Renminbi
[('Colombian_peso', 0.8753867149353027), ('Chile_peso', 0.6177626848220825), ('Chilean_peso', 0.6143683195114136)] Colombian_peso
[('Czech_koruna', 0.8458356857299805), ('Polish_zloty', 0.5820486545562744), ('Romanian_leu', 0.5603923797607422)] Czech_koruna
[('Ethiopia', 0.5324627161026001), ('Peru', 0.5302297472953796), ('Guatemala', 0.5047894716262817)] Ethiopian_birr
[('Euro', 0.7981307506561279), ('Croatia', 0.7289566397666931), ('Slovenia', 0.6754324436187744)] Euro
[('Euro', 0.7981307506561279), ('Croatia', 0.7289566397666931), ('Slovenia', 0.6754324436187744)] Euro
[('Hungarian_forint', 0.878511369228363), ('Polish_zloty', 0.6087915897369385), ('Romanian_leu', 0.6050965189933777)] Hungarian_forint
[('Lao_kip', 0.5403699278831482), ('Laos', 0.5154567956924438), ('Peru', 0.47309088706970215)] Lao_kip
[('Euro', 0.7981307506561279), ('Croatia', 0.7289566397666931), ('Slovenia', 0.6754324436187744)] Euro
[('Libyan_dinar', 0.7033706903457642), ('Albania', 0.4429461359977722), ('Venezuela', 0.43713563680648804)] Libyan_dinar
[('Malaysian_ringgit', 0.8576240539550781), ('ringgit', 0.6376795768737793), ('Malaysia', 0.6031605005264282)] Malaysian_ringgit
[('Euro', 0.7981307506561279), ('Croatia', 0.7289566397666931), ('Slovenia', 0.6754324436187744)] Euro
[('Nigerian_naira', 0.6978884339332581), ('Nigeria', 0.609889030456543), ('Zambia', 0.561393141746521)] Nigerian_naira
[('Euro', 0.7981307506561279), ('Croatia', 0.7289566397666931), ('Slovenia', 0.6754324436187744)] Euro
[('Oman', 0.6289093494415283), ('Qatar', 0.6143277883529663), ('Qatari_riyal', 0.6126784682273865)] Qatari_riyal
[('Euro', 0.7981307506561279), ('Croatia', 0.7289566397666931), ('Slovenia', 0.6754324436187744)] Euro
[('Saudi_riyal', 0.798753023147583), ('Saudi_Arabia', 0.5847864151000977), ('riyal', 0.5710582137107849)] Saudi_riyal
[('Euro', 0.7981307506561279), ('Croatia', 0.7289566397666931), ('Slovenia', 0.6754324436187744)] Euro
[('Somali_shilling', 0.7282986640930176), ('Ethiopia', 0.5372247099876404), ('Somalia', 0.4921160638332367)] Somali_shilling
[('Euro', 0.7981307506561279), ('Croatia', 0.7289566397666931), ('Slovenia', 0.6754324436187744)] Euro
[('Swedish_krona', 0.8483314514160156), ('Sweden', 0.5765968561172485), ('Danish_krone', 0.5475942492485046)] Swedish_krona
[('Swiss_franc', 0.8774286508560181), ('Swiss_Franc', 0.6413222551345825), ('franc', 0.6229519248008728)] Swiss_franc
[('Tajikistan', 0.5485360622406006), ('Somoni', 0.54143226146698), ('Uzbekistan', 0.5309067964553833)] Somoni
[('Tanzania', 0.5907046794891357), ('Zambia', 0.5495372414588928), ('Peru', 0.542820155620575)] Tanzanian_shilling
[('CFA_franc', 0.834000289440155), ('Senegal', 0.571232795715332), ('Gabon', 0.5324299335479736)] CFA_franc
[('Turkish_lira', 0.854727566242218), ('lira', 0.6410506963729858), ('Turkey', 0.621539294719696)] Turkish_lira
[('Serbia', 0.597366452217102), ('Montenegro', 0.5894893407821655), ('Albania', 0.5762940049171448)] Ukrainian_hryvnia
[('Peru', 0.5321452617645264), ('Ecuador', 0.47355255484580994), ('Albania', 0.4735317826271057)] Yemeni_rial
[('Zambia', 0.6216796636581421), ('Zambian_kwacha', 0.6095676422119141), ('Tanzania', 0.5906118154525757)] Zambian_kwacha
[('Ukraine', 0.44516509771347046), ('Armenia', 0.43291765451431274), ('Poland', 0.42798057198524475)] Armenian_dram
[('Euro', 0.7716600298881531), ('Euro####', 0.5889352560043335), ('Germany', 0.5866193771362305)] Euro
[('Germany', 0.5254225730895996), ('Britain', 0.4827256202697754), ('Austria', 0.47552692890167236)] Bulgarian_lev
[('Chilean_peso', 0.8620803356170654), ('Chile_peso', 0.600287914276123), ('Colombian_peso', 0.5808558464050293)] Chilean_peso
[('Renminbi', 0.8806120157241821), ('Renminbi_RMB', 0.5832228660583496), ('renminbi', 0.5782076716423035)] Renminbi
[('Colombian_peso', 0.8402380347251892), ('Chile_peso', 0.5880942344665527), ('peso', 0.5497211217880249)] Colombian_peso
[('Czech_koruna', 0.8016955852508545), ('Czech_Republic', 0.5187435150146484), ('koruna', 0.5177245140075684)] Czech_koruna
[('Ethiopia', 0.46760231256484985), ('Uganda', 0.42794913053512573), ('Kenya', 0.42568439245224)] Ethiopian_birr
[('Euro', 0.7716600298881531), ('Euro####', 0.5889352560043335), ('Germany', 0.5866193771362305)] Euro
[('Euro', 0.7716600298881531), ('Euro####', 0.5889352560043335), ('Germany', 0.5866193771362305)] Euro
[('Hungarian_forint', 0.8456682562828064), ('forint', 0.5548801422119141), ('Polish_zloty', 0.5470724105834961)] Hungarian_forint
[('Lao_kip', 0.4028530716896057), ('Philippines', 0.4026148021221161), ('Laos', 0.3779604136943817)] Lao_kip
[('Euro', 0.7716600298881531), ('Euro####', 0.5889352560043335), ('Germany', 0.5866193771362305)] Euro
[('Libyan_dinar', 0.6196059584617615), ('Yemen', 0.4512910842895508), ('Kuwait', 0.43616631627082825)] Libyan_dinar
[('Malaysian_ringgit', 0.8173545002937317), ('ringgit', 0.6215997934341431), ('Malaysia', 0.6183335185050964)] Malaysian_ringgit
[('Euro', 0.7716600298881531), ('Euro####', 0.5889352560043335), ('Germany', 0.5866193771362305)] Euro
[('Nigeria', 0.6608468294143677), ('Nigerian_naira', 0.627396821975708), ('Ghana', 0.5542609095573425)] Nigerian_naira
[('Euro', 0.7716600298881531), ('Euro####', 0.5889352560043335), ('Germany', 0.5866193771362305)] Euro
[('Qatar', 0.6023554801940918), ('Saudi_Arabia', 0.5924229621887207), ('Kuwait', 0.5869977474212646)] Qatari_riyal
